Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,131.042496,136.524994,129.625000,131.134995,131.059723,56064000
2021-01-05,130.997498,134.434998,130.869995,134.047501,133.970551,32276000
2021-01-06,132.225006,132.449997,125.860001,126.144997,126.072578,58042400
2021-01-07,129.675003,133.777496,128.865005,133.440002,133.363388,46148000
2021-01-08,133.625000,134.210007,130.419998,132.767502,132.691284,29252800
2021-01-11,134.187500,139.610001,133.625000,136.214996,136.136795,51834400
2021-01-12,137.524994,137.544998,133.449997,134.847504,134.770096,29147600
2021-01-13,134.899994,136.250000,133.850006,135.317505,135.239822,21002800
2021-01-14,135.750000,135.997498,131.804993,132.002502,131.926727,28312000
2021-01-15,132.279999,133.252502,128.485001,128.595001,128.521179,27778000
2021-01-19,130.162506,130.940002,128.440002,130.252502,130.177734,22618800
2021-01-20,131.117493,134.304993,130.567505,133.657501,133.580780,25857200
2021-01-21,134.184998,139.992493,132.529999,138.675003,138.595383,33778000
2021-01-22,137.399994,138.417496,136.272507,137.125000,137.046280,24682000
2021-01-25,137.817505,138.285004,132.365005,136.532501,136.454132,25111200
2021-01-26,135.804993,136.447495,133.875000,134.352493,134.275360,16398000
2021-01-27,132.300003,132.327499,127.937500,129.177505,129.103348,37127200
2021-01-28,129.962494,133.397507,129.604996,130.509995,130.435074,22831600
2021-01-29,130.750000,133.347504,129.115005,129.897507,129.822937,27155200
2021-02-01,130.532501,132.707504,129.027496,132.369995,132.294006,21720400
2021-02-02,133.987503,135.720001,132.854996,135.567505,135.489670,22044000
2021-02-03,136.360001,139.317505,135.164993,135.304993,135.227310,24540800
2021-02-04,135.309998,136.735001,133.377502,136.642502,136.564056,20134000
2021-02-05,137.250000,137.372498,135.457504,135.910004,135.831985,16915200
2021-02-08,137.272507,144.737503,137.272507,144.387497,144.304611,43462400
2021-02-09,143.407501,145.832504,142.225006,142.632507,142.550629,28756000
2021-02-10,144.632507,149.050003,143.414993,147.642502,147.557739,48535200
2021-02-11,149.802505,152.722504,149.250000,152.507507,152.419952,45082800
2021-02-12,150.500000,152.912506,147.750000,149.612503,149.526611,37475600
2021-02-16,150.642502,153.725006,149.500000,153.302505,153.214493,32196000
2021-02-17,151.710007,152.235001,147.800003,149.059998,148.974426,27475600
2021-02-18,147.289993,148.732498,145.750000,148.289993,148.204865,23386800
2021-02-19,150.244995,151.770004,148.467499,149.264999,149.179306,27172400
2021-02-22,147.747498,151.332504,143.250000,143.557495,143.475082,32588400
2021-02-23,140.752502,142.387497,133.895004,141.419998,141.338806,39178000
2021-02-24,141.227493,145.067505,137.559998,144.990005,144.906769,44832000
2021-02-25,140.455002,143.747498,132.162506,133.074997,132.998596,82443600
2021-02-26,137.524994,138.544998,133.610001,137.145004,137.066269,50093200
2021-03-01,138.750000,139.250000,135.532501,138.417496,138.338028,35318400
2021-03-02,139.000000,139.205002,133.960007,134.062500,133.985535,26411600
2021-03-03,134.262497,134.514999,127.987503,128.047501,127.973984,37759200
2021-03-04,128.007507,129.750000,120.837502,123.702499,123.631477,57334400
2021-03-05,125.500000,125.500000,116.792503,124.614998,124.543457,54284000
2021-03-08,124.500000,124.712502,115.665001,115.932503,115.865952,54311200
2021-03-09,121.302498,126.167503,120.592499,125.202499,125.173813,52182400
2021-03-10,128.404999,129.800003,124.574997,124.682503,124.653938,38437600
2021-03-11,129.500000,130.462494,127.345001,129.934998,129.905228,29991600
2021-03-12,126.482498,128.887497,125.900002,128.559998,128.530548,24396400
2021-03-15,128.647507,132.067505,127.672501,131.912506,131.882278,22198800
2021-03-16,133.565002,135.125000,131.167496,132.912506,132.882050,27212800
2021-03-17,130.397507,134.532501,129.895004,133.412506,133.381943,24386400
2021-03-18,131.365005,131.839996,127.169998,127.224998,127.195847,29389600
2021-03-19,127.500000,129.214996,126.125000,128.457504,128.428070,29920800
2021-03-22,129.127502,133.945007,129.067505,131.862503,131.832291,29780400
2021-03-23,132.542496,133.445007,130.212494,130.707504,130.677551,22204800
2021-03-24,131.512497,131.592499,126.367500,126.430000,126.401031,24584000
2021-03-25,124.995003,127.147499,122.720001,125.352501,125.323784,29514400
2021-03-26,125.544998,128.562500,123.735001,128.392502,128.363083,36396800
2021-03-29,128.202499,130.625000,127.000000,129.482498,129.452835,27352000
2021-03-30,128.419998,129.752502,127.050003,128.717499,128.688004,20020400
2021-03-31,130.154999,134.705002,129.824997,133.482498,133.451920,31477600
2021-04-01,135.722504,138.699997,135.112503,138.117493,138.085846,30827600
2021-04-05,138.675003,140.139999,137.330002,139.875000,139.842957,25567200
2021-04-06,139.997498,140.542496,137.735001,138.615005,138.583252,19174400
2021-04-07,138.807495,142.434998,137.115005,141.434998,141.402588,25128400
2021-04-08,142.527496,144.714996,142.490005,143.169998,143.137192,24441600
2021-04-09,142.139999,144.080002,141.750000,144.000000,143.967010,19517200
2021-04-12,142.897507,153.524994,141.392502,152.089996,152.055145,86932400
2021-04-13,152.315002,157.000000,151.257507,156.794998,156.759079,67621200
2021-04-14,156.250000,157.205002,152.274994,152.770004,152.735001,38550000
2021-04-15,156.625000,162.142502,156.315002,161.372498,161.335526,59848000
2021-04-16,160.529999,161.657501,158.652496,159.125000,159.088547,33520800
2021-04-19,155.365005,158.074997,152.330002,153.617493,153.582291,40442000
2021-04-20,153.232498,154.970001,149.630005,151.712494,151.677734,33413200
2021-04-21,151.187500,153.625000,151.022507,153.604996,153.569809,21677600
2021-04-22,153.750000,154.384995,147.835007,148.502502,148.468475,27778800
2021-04-23,149.342499,153.350006,149.002502,152.652496,152.617523,22750000
2021-04-26,151.850006,154.789993,151.250000,154.779999,154.744537,19779600
2021-04-27,155.785004,156.705002,153.544998,153.817505,153.782257,16457200
2021-04-28,153.645004,155.322495,152.154999,152.767502,152.732498,20941600
2021-04-29,154.000000,154.365005,150.714996,153.247498,153.212387,17319600
